Date,ACWI ESG SELECTION P-SERIES
2024-10-11,2035.0863317219578
2024-10-14,2048.3605009332196
2024-10-15,2031.2691318612162
2024-10-16,2033.679359327535
2024-10-17,2030.8135471756027
2024-10-18,2043.4515835176849
2024-10-21,2037.1819384322343
2024-10-22,2031.6147666580132
2024-10-23,2015.284537478508
2024-10-24,2020.8636774277
2024-10-25,2022.8498550446695
2024-10-28,2025.0430382995096
2024-10-29,2025.8574835337668
2024-10-30,2020.7672247925063
2024-10-31,1983.8859183623697
2024-11-01,1992.1461306855
2024-11-04,1991.802913865495
2024-11-05,2011.570757197565
2024-11-06,2038.0896502301255
2024-11-07,2058.883904872507
2024-11-08,2062.569541576214
