Date,EUROPE REGION ESG SELECTION P-SERIES
2024-10-11,1638.8195399940328
2024-10-14,1643.9687591499112
2024-10-15,1619.219954716415
2024-10-16,1606.8357701976095
2024-10-17,1611.974022268982
2024-10-18,1621.3461515979577
2024-10-21,1604.7735731382622
2024-10-22,1596.8391739677174
2024-10-23,1585.5363400021363
2024-10-24,1586.8182269596089
2024-10-25,1590.9718403440286
2024-10-28,1595.9720429626764
2024-10-29,1585.3069600573954
2024-10-30,1574.427914572639
2024-10-31,1553.7580139203424
2024-11-01,1568.8525340243016
2024-11-04,1568.8346012603638
2024-11-05,1570.105575887193
2024-11-06,1533.5905938278079
2024-11-07,1553.1977424160018
2024-11-08,1537.9255956266804
