Date,WORLD ESG SELECTION P-SERIES
2024-10-11,2153.1007223985816
2024-10-14,2169.167146429153
2024-10-15,2151.3201646099205
2024-10-16,2155.9744711845146
2024-10-17,2154.775991497281
2024-10-18,2163.183250618719
2024-10-21,2157.710213844759
2024-10-22,2152.665481003785
2024-10-23,2133.2829158387376
2024-10-24,2141.689260533196
2024-10-25,2143.598097715207
2024-10-28,2147.0020265723424
2024-10-29,2148.4467203651743
2024-10-30,2145.3388326372315
2024-10-31,2103.1099498768153
2024-11-01,2111.5220513204445
2024-11-04,2109.4913357483997
2024-11-05,2130.4491421005227
2024-11-06,2164.2624602003625
2024-11-07,2187.4654623811393
2024-11-08,2192.4696864713765
