Date,WORLD ex EUROPE REGION ESG SELECTION P-SERIES
2024-10-11,2236.339567537475
2024-10-14,2254.726422075921
2024-10-15,2239.0097902026946
2024-10-16,2247.1099588533407
2024-10-17,2244.772529016789
2024-10-18,2252.616665331119
2024-10-21,2250.60521061714
2024-10-22,2245.2894503236735
2024-10-23,2224.071897443818
2024-10-24,2234.300947660367
2024-10-25,2236.265940600954
2024-10-28,2238.7928924691996
2024-10-29,2243.5057873376545
2024-10-30,2242.305156400211
2024-10-31,2195.673358736398
2024-11-01,2202.312208318259
2024-11-04,2200.7266551571265
2024-11-05,2225.8253115397592
2024-11-06,2275.94432816076
2024-11-07,2301.1947984034323
2024-11-08,2310.7829219204928
